PRICE $,BEDS,BATHS,SQFT,LOTSIZE,LOTUNIT,SIZE,HtY,HtY %,STREET,CITY/TOWN,STATE,ZIP,LINK
"8,980,000",5,5.0,4571,3192,sqft lot,3192,0.7,1.43,3169 Washington St,San Francisco,CA,94115,https://www.realtor.com/realestateandhomes-detail/3169-Washington-St_San-Francisco_CA_94115_M28232-66691
"985,000",2,1.0,1500,1875,sqft lot,1875,1.25,0.8,1119 Mendell St,San Francisco,CA,94124,https://www.realtor.com/realestateandhomes-detail/1119-Mendell-St_San-Francisco_CA_94124_M27285-68857
"1,299,000",3,2.0,2460,1627,sqft lot,1627,0.66,1.51,400 Gaven St,San Francisco,CA,94134,https://www.realtor.com/realestateandhomes-detail/400-Gaven-St_San-Francisco_CA_94134_M19821-95188
"4,995,000",5,5.0,-,2850,sqft lot,2850,-,-,3852 21st St,San Francisco,CA,94114,https://www.realtor.com/realestateandhomes-detail/3852-21st-St_San-Francisco_CA_94114_M11499-57639
"1,298,000",4,2.0,1550,2495,sqft lot,2495,1.61,0.62,2220 Santiago St,San Francisco,CA,94116,https://www.realtor.com/realestateandhomes-detail/2220-Santiago-St_San-Francisco_CA_94116_M18845-29377
"1,195,000",2,1.0,1130,2495,sqft lot,2495,2.21,0.45,646 Monterey Blvd,San Francisco,CA,94127,https://www.realtor.com/realestateandhomes-detail/646-Monterey-Blvd_San-Francisco_CA_94127_M19251-75148
"3,950,000",4,3.5,-,4000,sqft lot,4000,-,-,137 Jordan Ave,San Francisco,CA,94118,https://www.realtor.com/realestateandhomes-detail/137-Jordan-Ave_San-Francisco_CA_94118_M29094-62816
"1,895,000",5,5.5,-,2996,sqft lot,2996,-,-,1222-1224 Funston Ave,San Francisco,CA,94083,https://www.realtor.com/realestateandhomes-detail/1222-1224-Funston-Ave_San-Francisco_CA_94083_M97004-03235
"3,685,000",4,3.5,3320,2922,sqft lot,2922,0.88,1.14,1466 Noe St,San Francisco,CA,94131,https://www.realtor.com/realestateandhomes-detail/1466-Noe-St_San-Francisco_CA_94131_M10297-66751
"1,595,000",2,2.0,-,1300,sqft lot,1300,-,-,3709 25th St,San Francisco,CA,94110,https://www.realtor.com/realestateandhomes-detail/3709-25th-St_San-Francisco_CA_94110_M24291-88796
"6,475,000",4,4.5,4620,3419,sqft lot,3419,0.74,1.35,332 27th St,San Francisco,CA,94131,https://www.realtor.com/realestateandhomes-detail/332-27th-St_San-Francisco_CA_94131_M29309-00180
"1,088,000",3,2.5,1130,2500,sqft lot,2500,2.21,0.45,583 Paris St,San Francisco,CA,94112,https://www.realtor.com/realestateandhomes-detail/583-Paris-St_San-Francisco_CA_94112_M17035-46364
"1,450,000",3,2.0,2078,2812,sqft lot,2812,1.35,0.74,235 Monterey Blvd,San Francisco,CA,94131,https://www.realtor.com/realestateandhomes-detail/235-Monterey-Blvd_San-Francisco_CA_94131_M12838-45947
"2,699,000",4,4.5,2123,,,-,-,-,588 12th Ave,San Francisco,CA,94118,https://www.realtor.com/realestateandhomes-detail/588-12th-Ave_San-Francisco_CA_94118_M10036-59772
"2,950,000",3,3.5,2710,2500,sqft lot,2500,0.92,1.08,415 Cornwall St,San Francisco,CA,94118,https://www.realtor.com/realestateandhomes-detail/415-Cornwall-St_San-Francisco_CA_94118_M26725-89113
"1,325,000",3,2.0,1390,3000,sqft lot,3000,2.16,0.46,2551 28th Ave,San Francisco,CA,94116,https://www.realtor.com/realestateandhomes-detail/2551-28th-Ave_San-Francisco_CA_94116_M13809-91961
"1,500,000",6,3.0,2411,4990,sqft lot,4990,2.07,0.48,84 Ervine St,San Francisco,CA,94134,https://www.realtor.com/realestateandhomes-detail/84-Ervine-St_San-Francisco_CA_94134_M14570-32154
"1,595,000",4,2.0,2465,3025,sqft lot,3025,1.23,0.81,923 Central Ave,San Francisco,CA,94115,https://www.realtor.com/realestateandhomes-detail/923-Central-Ave_San-Francisco_CA_94115_M12242-85524
"3,300,000",4,3.5,2972,1947,sqft lot,1947,0.66,1.53,2959 23rd St,San Francisco,CA,94110,https://www.realtor.com/realestateandhomes-detail/2959-23rd-St_San-Francisco_CA_94110_M17350-21564
"1,098,000",4,2.5,1800,2495,sqft lot,2495,1.39,0.72,937 Olmstead St,San Francisco,CA,94134,https://www.realtor.com/realestateandhomes-detail/937-Olmstead-St_San-Francisco_CA_94134_M13899-53458
"1,750,000",4,3.0,1865,2996,sqft lot,2996,1.61,0.62,1658 41st Ave,San Francisco,CA,94122,https://www.realtor.com/realestateandhomes-detail/1658-41st-Ave_San-Francisco_CA_94122_M15639-04580
"1,428,000",3,2.0,1190,2500,sqft lot,2500,2.1,0.48,715 Cayuga Ave,San Francisco,CA,94112,https://www.realtor.com/realestateandhomes-detail/715-Cayuga-Ave_San-Francisco_CA_94112_M22021-35632
"1,398,000",4,2.0,1845,3125,sqft lot,3125,1.69,0.59,170 Thrift St,San Francisco,CA,94112,https://www.realtor.com/realestateandhomes-detail/170-Thrift-St_San-Francisco_CA_94112_M16201-71078
"1,678,000",5,3.0,1850,2060,sqft lot,2060,1.11,0.9,2491 33rd Ave,San Francisco,CA,94116,https://www.realtor.com/realestateandhomes-detail/2491-33rd-Ave_San-Francisco_CA_94116_M12306-61149
"4,995,000",5,3.5,4458,,,-,-,-,1428-1430 Masonic Ave,San Francisco,CA,94117,https://www.realtor.com/realestateandhomes-detail/1428-1430-Masonic-Ave_San-Francisco_CA_94117_M92794-51610
"1,995,000",5,2.0,2185,1750,sqft lot,1750,0.8,1.25,200 Ellsworth St,San Francisco,CA,94110,https://www.realtor.com/realestateandhomes-detail/200-Ellsworth-St_San-Francisco_CA_94110_M17721-64336
"1,775,000",3,2.0,-,3900,sqft lot,3900,-,-,156 Midcrest Way,San Francisco,CA,94131,https://www.realtor.com/realestateandhomes-detail/156-Midcrest-Way_San-Francisco_CA_94131_M29442-60983
"1,520,000",4,2.0,1936,2443,sqft lot,2443,1.26,0.79,2301 26th Ave,San Francisco,CA,94116,https://www.realtor.com/realestateandhomes-detail/2301-26th-Ave_San-Francisco_CA_94116_M20880-38689
"1,695,000",7,3.0,2389,3000,sqft lot,3000,1.26,0.8,1353 48th Ave,San Francisco,CA,94122,https://www.realtor.com/realestateandhomes-detail/1351-48th-Ave_San-Francisco_CA_94122_M20935-02261
"2,198,000",1,1.0,735,2395,sqft lot,2395,3.26,0.31,276 Grand View Ave,San Francisco,CA,94114,https://www.realtor.com/realestateandhomes-detail/276-Grand-View-Ave_San-Francisco_CA_94114_M17057-53278
"1,299,000",3,3.0,1453,3000,sqft lot,3000,2.06,0.48,256 Madison St,San Francisco,CA,94134,https://www.realtor.com/realestateandhomes-detail/256-Madison-St_San-Francisco_CA_94134_M26395-66414
"1,998,000",4,2.0,1983,2848,sqft lot,2848,1.44,0.7,100 Panorama Dr,San Francisco,CA,94131,https://www.realtor.com/realestateandhomes-detail/100-Panorama-Dr_San-Francisco_CA_94131_M27694-09181
